volume_range,;filled_volume
(0.1, 0.1];431.52
(0.2, 0.2];328.5
(0.3, 0.3];264.53
(0.4, 0.4];242.03
(0.5, 0.5];238.38
(0.6, 0.6];207.49
(0.7, 0.7];204.65
(0.8, 0.8];203.91
(0.9, 0.9];203.07
(1.0, 1.0];202.58
(1.1, 1.1];140.44
(1.2, 1.2];140.08
(1.3, 1.3];139
(1.4, 1.4];138.02
(1.5, 1.5];137.27
(1.6, 1.6];134.9
(1.7, 1.7];133.96
(1.8, 1.8];133.84
(1.9, 1.9];133.6
(2.0, 2.0];133.18
(2.1, 2.1];117.13
(2.2, 2.2];117.1
(2.3, 2.3];116.84
(2.4, 2.4];116.66
(2.5, 2.5];116.1
(2.6, 2.6];114.9
(2.7, 2.7];114.89
(2.8, 2.8];114.8
(2.9, 2.9];114.8
(3.0, 3.0];114.8
(3.1, 3.1];85.15
(3.2, 3.2];85.1
(3.3, 3.3];84.8
(3.4, 3.4];84.6
(3.5, 3.5];84.6
(3.6, 3.6];84.36
(3.7, 3.7];84.2
(3.8, 3.8];84.2
(3.9, 3.9];84.16
(4.0, 4.0];84.1
(4.1, 4.1];82.9
(4.2, 4.2];82.9
(4.3, 4.3];82.9
(4.4, 4.4];82.9
(4.5, 4.5];82.7
(4.6, 4.6];82.7
(4.7, 4.7];82.7
(4.8, 4.8];82.6
(4.9, 4.9];82.52
(5.0, 5.0];82.5
(5.1, 5.1];55.3
(5.2, 5.2];55.3
(5.3, 5.3];55.3
(5.4, 5.4];55.3
(5.5, 5.5];55.3
(5.6, 5.6];55.22
(5.7, 5.7];55.2
(5.8, 5.8];55.2
(5.9, 5.9];55.2
(6.0, 6.0];55.2
(6.1, 6.1];54.5
(6.2, 6.2];54.5
(6.3, 6.3];54.5
(6.4, 6.4];54.5
(6.5, 6.5];54.37
(6.6, 6.6];54.21
(6.7, 6.7];54.2
(6.8, 6.8];54.18
(6.9, 6.9];54
(7.0, 7.0];54
(7.1, 7.1];54
(7.2, 7.2];54
(7.3, 7.3];54
(7.4, 7.4];54
(7.5, 7.5];54
(7.6, 7.6];53.8
(7.7, 7.7];53.8
(7.8, 7.8];53.8
(7.9, 7.9];53.8
(8.0, 8.0];53.8
(8.1, 8.1];53.7
(8.2, 8.2];53.7
(8.3, 8.3];53.6
(8.4, 8.4];53.6
(8.5, 8.5];53.6
(8.6, 8.6];53.6
(8.7, 8.7];53.6
(8.8, 8.8];53.6
(8.9, 8.9];53.6
(9.0, 9.0];53.6
(9.1, 9.1];53.4
(9.2, 9.2];53.3
(9.3, 9.3];53.3
(9.4, 9.4];53.3
(9.5, 9.5];53.2
(9.6, 9.6];53.2
(9.7, 9.7];53.2
(9.8, 9.8];53.2
(9.9, 9.9];53.2
(10.0, 10.0];53.2
(10.1, 10.1];1.8
(10.2, 10.2];1.8
(10.3, 10.3];1.8
(10.4, 10.4];1.8
(10.5, 10.5];1.8
(10.6, 10.6];1.8
(10.7, 10.7];1.8
(10.8, 10.8];1.8
(10.9, 10.9];1.8
(11.0, 11.0];1.8
(11.1, 11.1];1.8
(11.2, 11.2];1.8
(11.3, 11.3];1.8
(11.4, 11.4];1.8
(11.5, 11.5];1.8
(11.6, 11.6];1.8
(11.7, 11.7];1.8
(11.8, 11.8];1.8
(11.9, 11.9];1.8
(12.0, 12.0];1.8
(12.1, 12.1];1.8
(12.2, 12.2];1.7
(12.3, 12.3];1.6
(12.4, 12.4];1.6
(12.5, 12.5];1.6
(12.6, 12.6];1.6
(12.7, 12.7];1.6
(12.8, 12.8];1.6
(12.9, 12.9];1.6
(13.0, 13.0];1.6
(13.1, 13.1];1.6
(13.2, 13.2];1.6
(13.3, 13.3];1.6
(13.4, 13.4];1.6
(13.5, 13.5];1.6
(13.6, 13.6];1.6
(13.7, 13.7];1.6
(13.8, 13.8];1.6
(13.9, 13.9];1.6
(14.0, 14.0];1.6
(14.1, 14.1];1.6
(14.2, 14.2];1.6
(14.3, 14.3];1.6
(14.4, 14.4];1.6
(14.5, 14.5];1.6
(14.6, 14.6];1.6
(14.7, 14.7];1.6
(14.8, 14.8];1.6
(14.9, 14.9];1.6
(15.0, 15.0];1.6
(15.1, 15.1];1.1
(15.2, 15.2];1.1
(15.3, 15.3];1.1
(15.4, 15.4];1.1
(15.5, 15.5];1.1
(15.6, 15.6];1.1
(15.7, 15.7];0.9
(15.8, 15.8];0.9
(15.9, 15.9];0.9
(16.0, 16.0];0.9
(16.1, 16.1];0.9
(16.2, 16.2];0.89
(16.3, 16.3];0.8
(16.4, 16.4];0.8
(16.5, 16.5];0.8
(16.6, 16.6];0.8
(16.7, 16.7];0.8
(16.8, 16.8];0.8
(16.9, 16.9];0.8
(17.0, 17.0];0.8
(17.1, 17.1];0.8
(17.2, 17.2];0.8
(17.3, 17.3];0.8
(17.4, 17.4];0.8
(17.5, 17.5];0.8
(17.6, 17.6];0.8
(17.7, 17.7];0.8
(17.8, 17.8];0.8
(17.9, 17.9];0.8
(18.0, 18.0];0.8
(18.1, 18.1];0.8
(18.2, 18.2];0.8
(18.3, 18.3];0.8
(18.4, 18.4];0.8
