volume_range;filled_volume
(0.0 0.1];311688.6
(0.1 0.2];87353.17
(0.2 0.3];61678.79
(0.3 0.4];48928.59
(0.4 0.5];44427.04
(0.5 0.6];32909.89
(0.6 0.7];29830.07
(0.7 0.8];28094.04
(0.8 0.9];26402.19
(0.9 1.0];25125.91
(1.0 1.1];11201.86
(1.1 1.2];10830
(1.2 1.3];10323.99
(1.3 1.4];10050.45
(1.4 1.5];9812.05
(1.5 1.6];8967.39
(1.6 1.7];8687.27
(1.7 1.8];8574.96
(1.8 1.9];8436.52
(1.9 2.0];8319.27
(2.0 2.1];6203.37
(2.1 2.2];6142.08
(2.2 2.3];6024.65
(2.3 2.4];5972.19
(2.4 2.5];5916.35
(2.5 2.6];5312.36
(2.6 2.7];5287.31
(2.7 2.8];5242.86
(2.8 2.9];5213.12
(2.9 3.0];5185.65
(3.0 3.1];4258.28
(3.1 3.2];4238.75
(3.2 3.3];4180.87
(3.3 3.4];4135.92
(3.4 3.5];4123.91
(3.5 3.6];4057.05
(3.6 3.7];4012.27
(3.7 3.8];4000.15
(3.8 3.9];3978.38
(3.9 4.0];3929.23
(4.0 4.1];3374.36
(4.1 4.2];3366.77
(4.2 4.3];3353.55
(4.3 4.4];3341.68
(4.4 4.5];3334.02
(4.5 4.6];3310.7
(4.6 4.7];3305.59
(4.7 4.8];3297.95
(4.8 4.9];3221.13
(4.9 5.0];3209.83
(5.0 5.1];1283.64
(5.1 5.2];1279.98
(5.2 5.3];1270.84
(5.3 5.4];1261.88
(5.4 5.5];1240.92
(5.5 5.6];1226.93
(5.6 5.7];1219.98
(5.7 5.8];1216.2
(5.8 5.9];1213.36
(5.9 6.0];1199.59
(6.0 6.1];1059.57
(6.1 6.2];1057.87
(6.2 6.3];1055.56
(6.3 6.4];1020.1
(6.4 6.5];1016.51
(6.5 6.6];1013.6
(6.6 6.7];1004.09
(6.7 6.8];994.37
(6.8 6.9];992.5
(6.9 7.0];990.84
(7.0 7.1];916.73
(7.1 7.2];914.34
(7.2 7.3];913.27
(7.3 7.4];910.29
(7.4 7.5];906.65
(7.5 7.6];897.67
(7.6 7.7];880.47
(7.7 7.8];878.83
(7.8 7.9];877.1
(7.9 8.0];876.75
(8.0 8.1];822.69
(8.1 8.2];821.39
(8.2 8.3];820.2
(8.3 8.4];817.66
(8.4 8.5];801.99
(8.5 8.6];799.39
(8.6 8.7];798.1
(8.7 8.8];796.61
(8.8 8.9];794.79
(8.9 9.0];794.13
(9.0 9.1];773.18
(9.1 9.2];771.77
(9.2 9.3];770.2
(9.3 9.4];769.37
(9.4 9.5];766.82
(9.5 9.6];762.35
(9.6 9.7];760.18
(9.7 9.8];759.1
(9.8 9.9];758.2
(9.9 10.0];756.8
(10.0 10.1];251.76
(10.1 10.2];251
(10.2 10.3];250.33
(10.3 10.4];249.32
(10.4 10.5];248.78
(10.5 10.6];241.26
(10.6 10.7];240.68
(10.7 10.8];240.53
(10.8 10.9];238.16
(10.9 11.0];237.72
(11.0 11.1];228.4
(11.1 11.2];225.76
(11.2 11.3];222.92
(11.3 11.4];222.59
(11.4 11.5];222.3
(11.5 11.6];220.7
(11.6 11.7];219.9
(11.7 11.8];219.9
(11.8 11.9];219.85
(11.9 12.0];219.39
(12.0 12.1];211.1
(12.1 12.2];210.7
(12.2 12.3];210.6
(12.3 12.4];210.38
(12.4 12.5];210.3
(12.5 12.6];209.42
(12.6 12.7];209.12
(12.7 12.8];209.09
(12.8 12.9];208.05
(12.9 13.0];206.9
(13.0 13.1];203.27
(13.1 13.2];202.82
(13.2 13.3];202.2
(13.3 13.4];201.94
(13.4 13.5];201.67
(13.5 13.6];200.94
(13.6 13.7];200.85
(13.7 13.8];200.5
(13.8 13.9];200.42
(13.9 14.0];200.17
(14.0 14.1];196.68
(14.1 14.2];196.5
(14.2 14.3];196.1
(14.3 14.4];195.52
(14.4 14.5];194.49
(14.5 14.6];192.3
(14.6 14.7];192.04
(14.7 14.8];192
(14.8 14.9];191.9
(14.9 15.0];191.41
(15.0 15.1];141.14
(15.1 15.2];141.1
(15.2 15.3];141
(15.3 15.4];140.9
(15.4 15.5];140.88
(15.5 15.6];139.49
(15.6 15.7];139.21
(15.7 15.8];139.14
(15.8 15.9];138.83
(15.9 16.0];138.5
(16.0 16.1];136.01
(16.1 16.2];135.8
(16.2 16.3];135.7
(16.3 16.4];135.7
(16.4 16.5];135.68
(16.5 16.6];131.36
(16.6 16.7];131.2
(16.7 16.8];131.2
(16.8 16.9];131.2
(16.9 17.0];131.16
(17.0 17.1];130.9
(17.1 17.2];130.9
(17.2 17.3];130.86
(17.3 17.4];130.63
(17.4 17.5];130.5
(17.5 17.6];130.5
(17.6 17.7];129.8
(17.7 17.8];129.71
(17.8 17.9];129.7
(17.9 18.0];129.7
(18.0 18.1];127.13
(18.1 18.2];127.1
(18.2 18.3];126.3
(18.3 18.4];126.3
(18.4 18.5];126.22
(18.5 18.6];126.2
(18.6 18.7];126.06
(18.7 18.8];122.52
(18.8 18.9];119
(18.9 19.0];116.66
(19.0 19.1];114.4
(19.1 19.2];114.4
(19.2 19.3];114.19
(19.3 19.4];114.1
(19.4 19.5];114.1
(19.5 19.6];114.1
(19.6 19.7];114
(19.7 19.8];113.88
(19.8 19.9];113.7
(19.9 20.0];108.24
(20.0 20.1];47.8
(20.1 20.2];47.8
(20.2 20.3];47.8
(20.3 20.4];46.96
(20.4 20.5];46.6
(20.5 20.6];46.6
(20.6 20.7];46.6
(20.7 20.8];46.6
(20.8 20.9];46.6
(20.9 21.0];46.6
(21.0 21.1];43.6
(21.1 21.2];43.6
(21.2 21.3];43.6
(21.3 21.4];43.6
(21.4 21.5];43.6
(21.5 21.6];43.6
(21.6 21.7];43.6
(21.7 21.8];43.6
(21.8 21.9];43.6
(21.9 22.0];43.6
(22.0 22.1];43.3
(22.1 22.2];43.3
(22.2 22.3];43.3
(22.3 22.4];43.3
(22.4 22.5];43.3
(22.5 22.6];43.3
(22.6 22.7];43.3
(22.7 22.8];43.3
(22.8 22.9];43.3
(22.9 23.0];43.3
(23.0 23.1];43.3
(23.1 23.2];43.3
(23.2 23.3];43.3
(23.3 23.4];43.3
(23.4 23.5];43.12
(23.5 23.6];43.1
(23.6 23.7];43.1
(23.7 23.8];43.1
(23.8 23.9];43.1
(23.9 24.0];43.1
(24.0 24.1];42.7
(24.1 24.2];42.7
(24.2 24.3];42.7
(24.3 24.4];42.7
(24.4 24.5];42.63
(24.5 24.6];42.6
(24.6 24.7];42.6
(24.7 24.8];42.6
(24.8 24.9];42.6
(24.9 25.0];42.52
(25.0 25.1];15.06
(25.1 25.2];15
(25.2 25.3];15
(25.3 25.4];15
(25.4 25.5];14.9
(25.5 25.6];14.9
(25.6 25.7];14.9
(25.7 25.8];14.82
(25.8 25.9];14.8
(25.9 26.0];14.8
(26.0 26.1];14.8
(26.1 26.2];14.8
(26.2 26.3];14.8
(26.3 26.4];14.8
(26.4 26.5];14.8
(26.5 26.6];14.8
(26.6 26.7];14.8
(26.7 26.8];14.8
(26.8 26.9];14.8
(26.9 27.0];13.66
(27.0 27.1];12.7
(27.1 27.2];12.7
(27.2 27.3];12.7
(27.3 27.4];12.7
(27.4 27.5];12.7
(27.5 27.6];12.7
(27.6 27.7];12.7
(27.7 27.8];12.63
(27.8 27.9];12.6
(27.9 28.0];12.6
(28.0 28.1];12.32
(28.1 28.2];12.3
(28.2 28.3];12.3
(28.3 28.4];12.23
(28.4 28.5];12.2
(28.5 28.6];12.2
(28.6 28.7];12.2
(28.7 28.8];12.2
(28.8 28.9];12.1
(28.9 29.0];12
(29.0 29.1];12
(29.1 29.2];12
(29.2 29.3];12
(29.3 29.4];12
(29.4 29.5];12
(29.5 29.6];12
(29.6 29.7];12
(29.7 29.8];12
(29.8 29.9];12
(29.9 30.0];12
(30.0 30.1];10.05
(30.1 30.2];10
(30.2 30.3];10
(30.3 30.4];10
(30.4 30.5];10
(30.5 30.6];10
(30.6 30.7];10
(30.7 30.8];10
(30.8 30.9];10
(30.9 31.0];10
(31.0 31.1];9.9
(31.1 31.2];9.9
(31.2 31.3];9.9
(31.3 31.4];9.9
(31.4 31.5];9.9
(31.5 31.6];9.9
(31.6 31.7];9.9
(31.7 31.8];9.9
(31.8 31.9];9.9
(31.9 32.0];9.89
(32.0 32.1];9.26
(32.1 32.2];9.2
(32.2 32.3];9.2
(32.3 32.4];9.2
(32.4 32.5];9.2
(32.5 32.6];9.2
(32.6 32.7];9.2
(32.7 32.8];9.2
(32.8 32.9];9.2
(32.9 33.0];9.2
(33.0 33.1];9.2
(33.1 33.2];9.2
(33.2 33.3];9.2
(33.3 33.4];9.1
(33.4 33.5];9.1
(33.5 33.6];9.1
(33.6 33.7];9.1
(33.7 33.8];9.1
(33.8 33.9];9.1
(33.9 34.0];9.1
(34.0 34.1];8.9
(34.1 34.2];8.9
(34.2 34.3];8.9
(34.3 34.4];8.9
(34.4 34.5];8.9
(34.5 34.6];8.9
(34.6 34.7];8.9
(34.7 34.8];8.9
(34.8 34.9];8.9
(34.9 35.0];8.9
(35.0 35.1];8.6
(35.1 35.2];8.6
(35.2 35.3];8.6
(35.3 35.4];8.6
(35.4 35.5];8.6
(35.5 35.6];8.6
(35.6 35.7];8.6
(35.7 35.8];8.6
(35.8 35.9];8.6
(35.9 36.0];8.6
(36.0 36.1];8.6
(36.1 36.2];8.6
(36.2 36.3];8.6
(36.3 36.4];8.6
(36.4 36.5];8.6
(36.5 36.6];8.6
(36.6 36.7];8.6
(36.7 36.8];8.6
(36.8 36.9];8.51
(36.9 37.0];8.5
(37.0 37.1];8.5
(37.1 37.2];8.5
(37.2 37.3];8.5
(37.3 37.4];8.5
(37.4 37.5];8.5
(37.5 37.6];8.5
(37.6 37.7];8.5
(37.7 37.8];8.5
(37.8 37.9];8.5
(37.9 38.0];8.5
(38.0 38.1];8.5
(38.1 38.2];8.5
(38.2 38.3];8.5
(38.3 38.4];8.5
